name,type,value,date
Pinnacle Airlines Inc.,airport,20813,"2007-11	"
Pinnacle Airlines Inc.,airport,21888,"2007-12	"
Pinnacle Airlines Inc.,airport,22848,"2008-01	"
Pinnacle Airlines Inc.,airport,21008,"2008-02	"
Pinnacle Airlines Inc.,airport,22534,"2008-03	"
Pinnacle Airlines Inc.,airport,21969,"2008-04	"
Pinnacle Airlines Inc.,airport,22212,"2008-05	"
Pinnacle Airlines Inc.,airport,21506,"2008-06	"
Pinnacle Airlines Inc.,airport,21768,"2008-07	"
Pinnacle Airlines Inc.,airport,21456,"2008-08	"
Pinnacle Airlines Inc.,airport,20854,"2008-09	"
Pinnacle Airlines Inc.,airport,22216,"2008-10	"
Pinnacle Airlines Inc.,airport,21371,"2008-11	"
Pinnacle Airlines Inc.,airport,22298,"2007-03	"
Pinnacle Airlines Inc.,airport,22466,"2008-12	"
Pinnacle Airlines Inc.,airport,21214,"2007-04	"
Pinnacle Airlines Inc.,airport,21295,"2007-05	"
Pinnacle Airlines Inc.,airport,21816,"2007-06	"
Pinnacle Airlines Inc.,airport,22190,"2007-07	"
Pinnacle Airlines Inc.,airport,22840,"2007-08	"
Pinnacle Airlines Inc.,airport,19907,"2007-02	"
Pinnacle Airlines Inc.,airport,21238,"2007-09	"
Pinnacle Airlines Inc.,airport,22290,"2007-10	"
Pinnacle Airlines Inc.,airport,21062,"2007-01	"
American Airlines Inc.,airport,53280,"1998-11	"
American Airlines Inc.,airport,56091,"1987-10	"
American Airlines Inc.,airport,53200,"1987-11	"
American Airlines Inc.,airport,55830,"1987-12	"
American Airlines Inc.,airport,56280,"1988-01	"
American Airlines Inc.,airport,52750,"1988-02	"
American Airlines Inc.,airport,56976,"1988-03	"
American Airlines Inc.,airport,56115,"1988-04	"
American Airlines Inc.,airport,57536,"1988-05	"
American Airlines Inc.,airport,56220,"1988-06	"
American Airlines Inc.,airport,58675,"1988-07	"
American Airlines Inc.,airport,59295,"1988-08	"
American Airlines Inc.,airport,57553,"1988-09	"
American Airlines Inc.,airport,61568,"1988-10	"
American Airlines Inc.,airport,59230,"1988-11	"
American Airlines Inc.,airport,62559,"1988-12	"
American Airlines Inc.,airport,62963,"1989-01	"
American Airlines Inc.,airport,56513,"1989-02	"
American Airlines Inc.,airport,62512,"1989-03	"
American Airlines Inc.,airport,61022,"1989-04	"
American Airlines Inc.,airport,62376,"1989-05	"
American Airlines Inc.,airport,60749,"1989-06	"
American Airlines Inc.,airport,60299,"1989-07	"
American Airlines Inc.,airport,59563,"1989-08	"
