name,type,value,date
Lehigh Valley International,airport,6865,"1997	"
Lehigh Valley International,airport,6089,"1999	"
Lehigh Valley International,airport,6302,"2000	"
Lehigh Valley International,airport,5262,"2001	"
Lehigh Valley International,airport,2090,"2002	"
Lehigh Valley International,airport,4071,"2003	"
Lehigh Valley International,airport,1258,"1987	"
Lehigh Valley International,airport,6909,"2004	"
Lehigh Valley International,airport,4742,"2005	"
Lehigh Valley International,airport,5188,"2006	"
Lehigh Valley International,airport,5701,"2007	"
Lehigh Valley International,airport,4807,"2008	"
Lehigh Valley International,airport,6236,"1998	"
Lehigh Valley International,airport,4947,"1988	"
Lehigh Valley International,airport,4959,"1989	"
Lehigh Valley International,airport,6010,"1990	"
Lehigh Valley International,airport,6178,"1991	"
Lehigh Valley International,airport,7428,"1992	"
Lehigh Valley International,airport,6515,"1993	"
Lehigh Valley International,airport,7096,"1994	"
Lehigh Valley International,airport,7198,"1995	"
Lehigh Valley International,airport,7125,"1996	"
Abilene Regional,airport,2845,"2006	"
Abilene Regional,airport,2567,"2001	"
Abilene Regional,airport,2836,"2007	"
Abilene Regional,airport,2660,"2008	"
Abilene Regional,airport,2529,"2003	"
Abilene Regional,airport,2437,"2002	"
Abilene Regional,airport,3088,"2004	"
Abilene Regional,airport,2,"1989	"
Abilene Regional,airport,2749,"2005	"
Albuquerque International,airport,36196,"1994	"
Albuquerque International,airport,7866,"1987	"
Albuquerque International,airport,31480,"1988	"
Albuquerque International,airport,30882,"1989	"
Albuquerque International,airport,31893,"1990	"
Albuquerque International,airport,30334,"1991	"
Albuquerque International,airport,31744,"1992	"
Albuquerque International,airport,34699,"1993	"
Albuquerque International,airport,36871,"1995	"
Albuquerque International,airport,37956,"1996	"
Albuquerque International,airport,37604,"1997	"
Albuquerque International,airport,36320,"1998	"
Albuquerque International,airport,37276,"1999	"
Albuquerque International,airport,36447,"2000	"
Albuquerque International,airport,36248,"2001	"
Albuquerque International,airport,36240,"2002	"
Albuquerque International,airport,36708,"2003	"
Albuquerque International,airport,37033,"2004	"
Albuquerque International,airport,36956,"2005	"
Albuquerque International,airport,37264,"2006	"
Albuquerque International,airport,41161,"2007	"
Albuquerque International,airport,41146,"2008	"
Southwest Georgia Regional,airport,1420,"2004	"
Southwest Georgia Regional,airport,1449,"2003	"
Southwest Georgia Regional,airport,1390,"2005	"
Southwest Georgia Regional,airport,1369,"2006	"
Southwest Georgia Regional,airport,1312,"2007	"
Southwest Georgia Regional,airport,1095,"2008	"
Nantucket Memorial,airport,22,"1994	"
Nantucket Memorial,airport,40,"1995	"
Nantucket Memorial,airport,19,"1993	"
Nantucket Memorial,airport,25,"1996	"
Nantucket Memorial,airport,16,"1997	"
Nantucket Memorial,airport,22,"1998	"
Nantucket Memorial,airport,193,"2003	"
Nantucket Memorial,airport,242,"2004	"
Nantucket Memorial,airport,227,"2005	"
Nantucket Memorial,airport,235,"2006	"
Nantucket Memorial,airport,314,"2007	"
Nantucket Memorial,airport,457,"2008	"
Waco Regional,airport,2736,"2003	"
Waco Regional,airport,2686,"2001	"
Waco Regional,airport,2390,"2002	"
Waco Regional,airport,3522,"2004	"
Waco Regional,airport,2947,"2005	"
Waco Regional,airport,2458,"2006	"
Waco Regional,airport,2349,"2007	"
Waco Regional,airport,1993,"2008	"
Arcata,airport,343,"1987	"
Arcata,airport,19,"1988	"
Arcata,airport,4027,"2003	"
Arcata,airport,4101,"2004	"
Arcata,airport,4042,"2005	"
Arcata,airport,3664,"2006	"
Arcata,airport,3872,"2007	"
Arcata,airport,3714,"2008	"
