1	,322248,2592201,10272489,43.083000893835006
10	,134388,2087878,10758658,39.01523077497823
11	,125665,2159626,10218176,39.562405249797884
12	,243183,3039496,10572256,43.59446006837976
2	,248669,2305580,9431225,42.34673964902541
3	,212262,2461708,10448039,41.82108194798083
4	,125717,2032180,10081982,40.90442677321891
5	,126818,2065262,10330467,42.35136365265036
6	,165995,2570921,10226946,46.82435749678812
7	,166524,2527172,10571942,46.73132893210276
8	,166794,2452407,10646835,44.172361276085084
9	,265061,1688539,9975954,40.421009523617755
